رقم التكليف,Transformer_id,تاريخ القياس,نظام القياس ,اسم_المحول,اتجاه السكينة,قدرة_السكينة,قياس التيار R,قياس التيار S,قياس التيار T,قياس التيار N,الجهد بين الفازات RS,الجهد بين الفازات RT,الجهد بين الفازات ST,الجهد بين الفازات RN,الجهد بين الفازات SN,الجهد بين الفازات TN
21,2,16/01/2023,شتوي,ابراج الكلية,شرقي,400,55,96,45,48,400,400,400,230,230,230
11,1,16/01/2023,شتوي,ابراج الكلية 2,شمالي,400,7,45,15,33,400,400,400,230,230,230
12,1,16/01/2023,شتوي,ابراج الكلية 2,شرقي,400,34,47,49,13,400,400,400,230,230,230
13,1,16/01/2023,شتوي,ابراج الكلية 2,غربي,400,22,15,28,9,400,400,400,230,230,230
14,1,16/01/2023,شتوي,ابراج الكلية 2,جنوبي,400,39,17,22,13,400,400,400,230,230,230
15,1,16/01/2023,شتوي,ابراج الكلية 2,شمالي اضافية,400,99,71,60,42,400,400,400,230,230,230
31,3,2/8/2023,صيفي,ابو العوف,شمالي,630,50,15,40,0,385,390,387,220,222,223
32,3,2/8/2023,صيفي,ابو العوف,شرقي,630,60,145,140,90,385,390,387,220,222,223
33,3,2/8/2023,صيفي,ابو العوف,جنوبي,630,30,40,122,90,385,390,387,220,222,223
41,4,14/01/2023,شتوي,ابو بكرة,شمالي,400,139,51,39,99,400,400,400,230,230,230
42,4,14/01/2023,شتوي,ابو بكرة,شرقي,400,49,74,75,24,400,400,400,230,230,230
43,4,14/01/2023,شتوي,ابو بكرة,غربي,400,59,27,34,22,400,400,400,230,230,230
44,4,14/01/2023,شتوي,ابو بكرة,جنوبي,400,106,82,154,66,400,400,400,230,230,230
51,5,16/01/2023,شتوي,ابو جبر,لوحة سكادا ض.م,400,279,440,485,0,400,400,400,230,230,230
61,6,14/01/2023,شتوي,ابو جميزة,شمالي,400,3,4,3,5,400,400,400,230,230,230
62,6,14/01/2023,شتوي,ابو جميزة,غربي,400,121,77,83,62,400,400,400,230,230,230
63,6,14/01/2023,شتوي,ابو جميزة,جنوبي,400,107,113,147,50,400,400,400,230,230,230
71,7,16/01/2023,شتوي,ابو حسني,لوحة سكادا ض.م,400,289,282,235,0,400,400,400,230,230,230
81,8,14/01/2023,شتوي,ابو خطاب,شمالي,400,27,33,44,16,400,400,400,230,230,230
82,8,14/01/2023,شتوي,ابو خطاب,شرقي,400,81,111,192,93,400,400,400,230,230,230
83,8,14/01/2023,شتوي,ابو خطاب,غربي,400,60,165,48,118,400,400,400,230,230,230
91,9,28/02/2023,شتوي,ابو سلطان سكان,شرقي,400,81,59,44,25,400,400,400,230,230,230
92,9,28/02/2023,شتوي,ابو سلطان سكان,غربي,400,75,73,95,34,400,400,400,230,230,230
93,9,28/02/2023,شتوي,ابو سلطان سكان,جنوبي,400,24,28,24,4,400,400,400,230,230,230
101,10,16/01/2023,شتوي,ابو عريف 3 - الزريعي,لوحة سكادا ض.م,400,462,347,392,0,400,400,400,230,230,230
111,11,16/01/2023,شتوي,ابو ندى - الحبيبي,شمالي,400,750,650,750,0,400,400,400,230,230,230
112,11,16/01/2023,شتوي,ابو ندى - الحبيبي,غربي,400,650,750,900,33,400,400,400,230,230,230
113,11,16/01/2023,شتوي,ابو ندى - الحبيبي,جنوبي,400,900,840,650,66,400,400,400,230,230,230
121,12,14/01/2023,شتوي,ابو هولي - ام ظهير,شمالي,400,600,1,29,19,400,400,400,230,230,230
122,12,14/01/2023,شتوي,ابو هولي - ام ظهير,شرقي,400,180,99,163,0,400,400,400,230,230,230
123,12,14/01/2023,شتوي,ابو هولي - ام ظهير,غربي,400,26,25,66,37,400,400,400,230,230,230
124,12,14/01/2023,شتوي,ابو هولي - ام ظهير,جنوبي,400,29,37,79,0,400,400,400,230,230,230
131,13,14/01/2023,شتوي,احمد رباح,شمالي,400,70,88,110,7,400,400,400,230,230,230
132,13,14/01/2023,شتوي,احمد رباح,شرقي,400,148,117,116,132,25,400,400,230,230,230
133,13,14/01/2023,شتوي,احمد رباح,جنوبي,400,78,62,44,26,400,400,400,230,230,230
141,14,14/01/2023,شتوي,افراز ابو سليم,شمالي,400,165,124,216,78,400,400,400,230,230,230
142,14,14/01/2023,شتوي,افراز ابو سليم,شرقي,400,14,73,30,52,400,400,400,230,230,230
151,15,16/01/2023,شتوي,الاقصى سكان,شمالي,400,49,126,71,0,400,400,400,230,230,230
152,15,16/01/2023,شتوي,الاقصى سكان,غربي,400,60,115,55,0,400,400,400,230,230,230
153,15,16/01/2023,شتوي,الاقصى سكان,جنوبي,400,110,58,29,59,400,400,400,230,230,230
161,16,16/01/2023,شتوي,البحيصي,شمالي,400,77,145,79,61,400,400,400,230,230,230
162,16,16/01/2023,شتوي,البحيصي,جنوبي,400,68,66,145,79,400,400,400,230,230,230
171,17,28/02/2023,شتوي,البخاري,شمالي,400,242,201,190,82,400,400,400,230,230,230
172,17,28/02/2023,شتوي,البخاري,شرقي,400,128,80,94,54,400,400,400,230,230,230
173,17,28/02/2023,شتوي,البخاري,جنوبي,400,6,5,2,7,400,400,400,230,230,230
181,18,14/01/2023,شتوي,البركة,شمالي,400,18,90,88,8,400,400,400,230,230,230
182,18,14/01/2023,شتوي,البركة,شرقي,400,49,73,130,72,400,400,400,230,230,230
183,18,14/01/2023,شتوي,البركة,غربي,400,106,112,143,0,400,400,400,230,230,230
184,18,14/01/2023,شتوي,البركة,جنوبي,400,81,44,41,52,400,400,400,230,230,230
191,19,14/01/2023,شتوي,البروك,شمالي,400,45,10,60,0,400,400,400,230,230,230
192,19,14/01/2023,شتوي,البروك,غربي,400,110,5,62,90,400,400,400,230,230,230
193,19,14/01/2023,شتوي,البروك,جنوبي,400,107,93,111,0,400,400,400,230,230,230
201,20,16/01/2023,شتوي,البلد,لوحة سكادا ض.م,400,490,298,416,0,400,400,400,230,230,230
211,21,16/01/2023,شتوي,البنا,شمالي,400,0,0,0,0,400,400,400,230,230,230
212,21,16/01/2023,شتوي,البنا,شرقي,400,44,33,27,0,400,400,400,230,230,230
213,21,16/01/2023,شتوي,البنا,غربي,400,44,69,52,19,400,400,400,230,230,230
214,21,16/01/2023,شتوي,البنا,جنوبي,400,8,13,8,8,400,400,400,230,230,230
221,22,22/01/2023,شتوي,البيت الذهبي,1,400,88,66,86,33,400,400,400,230,230,230
231,23,22/01/2023,شتوي,البيئة,شمالي,400,29,13,46,15,400,400,400,230,230,230
232,23,22/01/2023,شتوي,البيئة,شرقي,400,105,97,102,27,400,400,400,230,230,230
233,23,22/01/2023,شتوي,البيئة,غربي,400,27,22,77,50,400,400,400,230,230,230
234,23,22/01/2023,شتوي,البيئة,جنوبي,400,165,136,202,48,400,400,400,230,230,230
241,24,16/01/2023,شتوي,التاهيل - كراج المعسكر,شمالي,400,38,198,132,117,400,400,400,230,230,230
242,24,16/01/2023,شتوي,التاهيل - كراج المعسكر,شرقي,400,132,134,231,121,400,400,400,230,230,230
243,24,16/01/2023,شتوي,التاهيل - كراج المعسكر,غربي,400,116,79,81,49,400,400,400,230,230,230
251,25,16/01/2023,شتوي,التحلية - جامع ابو سليم,لوحة سكادا ض.م,400,463,414,317,0,400,400,400,230,230,230
261,26,16/01/2023,شتوي,التموين,لوحة سكادا ض.م,400,226,215,182,0,400,400,400,230,230,230
271,27,16/01/2023,شتوي,الحدبة,لوحة سكادا ض.م,400,155,270,189,0,400,400,400,230,230,230
281,28,14/01/2023,شتوي,الحكر - السويركي,شمالي,400,176,172,173,0,400,400,400,230,230,230
